HDI rank,Country,Human Development Group,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita (2011 PPP $),GNI per capita rank minus HDI rank,HDI Growth - 1990-2000,HDI Growth 2000-2010,HDI Growth 2010-2017,HDI Growth1990-2017,Gender Development Index,HDI - F,HDI - M,Life expect - F,Life expect - M,Expected years of schooling - F,Expected years of schooling - M,Adolescent birth rate ,Share of seats in parliament - % by women
121,El Salvador,Medium,0.674158727,73.75,12.60515,6.8945,6868.107606,0,1.515223735,0.876939572,0.072960396,0.903325701,0.968653193,0.662574677,0.684016408,78.126,69.051,12.4783,12.7503,69.459,32.14285714
122,Kyrgyzstan,Medium,0.672193033,71.069,13.40113,10.87623,3255.238583,32,-0.388872545,0.691995942,0.785109297,0.314349476,0.960038694,0.653912168,0.681131055,75.13,67.111,13.6522,13.1592,38.116,19.16666667
123,Morocco,Medium,0.66651257,76.059,12.42933984,5.514,7339.621319,-5,1.470400166,1.511543823,1.131618811,1.397682383,0.83810912,0.597879988,0.713367715,77.217,74.86,12.0245,12.8105,31.095,18.44660194
124,Nicaragua,Medium,0.657739789,75.653,12.07148158,6.68,5157.315656,14,1.537770349,0.865351842,0.821833198,1.102562728,0.966001791,0.642160793,0.664761493,78.628,72.603,12.3396,11.8049,85.396,45.65217391
125,Cabo Verde,Medium,0.654030718,73.004,12.6342,6.12469,5983.137566,2,,0.987536774,0.559611451,,0.94901022,0.632347224,0.666322881,74.914,70.86,12.8207,12.1174,73.759,20.83333333
125,Guyana,Medium,0.653637243,66.766,11.36109,8.4165,7446.545958,-8,1.175445782,0.419789983,0.521615188,0.725464781,0.947857878,0.631383742,0.666116468,69.178,64.489,11.7488,10.9858,85.812,31.88405797
127,Guatemala,Medium,0.650311623,73.654,10.75103,6.47414,7278.142303,-8,1.353240683,1.133234338,0.885356796,1.150287672,0.947692095,0.629893422,0.664660416,76.83,70.418,10.7256,10.896,70.93,12.65822785
127,Tajikistan,Medium,0.65001453,71.214,11.21908,10.42,3317.42398,25,-1.232631749,1.430887511,0.355744872,0.159028089,0.933201905,0.624350924,0.669041631,74.361,68.428,10.5195,11.894,36.416,20
129,Namibia,Medium,0.64652527,64.85,12.34296,6.84,9387.195907,-25,-0.365005652,0.632863712,1.20804248,0.410380072,1.013524427,0.65053885,0.641858087,67.724,61.821,12.4321,12.2458,73.81,36.30136986
130,India,Medium,0.639832911,68.803,12.34981,6.398,6353.045173,-5,1.44606167,1.639122581,1.398618536,1.505212047,0.841022661,0.574789622,0.683441301,70.427,67.32,12.8747,11.8797,23.074,11.57760814
131,Micronesia (Federated States of),Medium,0.627254688,69.316,11.7,7.95474,3842.907105,13,,0.981011055,0.44134247,,,,,70.509,68.118,,,13.924,0
132,Timor-Leste,Medium,0.624944098,69.199,12.75465002,4.5243,6846.390045,-10,,2.015474473,0.129395578,,0.854842457,0.567058697,0.663348775,71.098,67.417,12.3361,13.1595,43.978,32.30769231
133,Honduras,Medium,0.616716749,73.774,10.22359,6.53113,4215.293803,8,0.917622957,0.720626424,0.496631514,0.735380499,0.977606171,0.608014749,0.621942422,76.341,71.223,10.6609,9.7968,70.789,25.78125
134,Bhutan,Medium,0.612417609,70.565,12.26823,3.1337,8064.827651,-21,,,1.137932283,,0.892582547,0.575850599,0.645151085,70.876,70.258,12.3762,12.1614,20.339,8.333333333
134,Kiribati,Medium,0.611784026,66.506,12.89534671,7.86553,3041.866614,22,,0.671204348,0.526407046,,,,,69.829,63.198,13.4399,12.609,16.177,6.52173913
136,Bangladesh,Medium,0.608155837,72.808,11.3645672,5.78332,3676.923378,9,1.930145211,1.535131647,1.567403946,1.689632108,0.88117434,0.567041386,0.643506466,74.623,71.191,11.7192,11.3061,83.508,20.28571429
137,Congo,Medium,0.606282582,65.088,11.37073479,6.31,5694.221011,-5,-0.908984085,1.302536624,1.214206828,0.455036659,0.934224672,0.582873533,0.623911517,66.748,63.466,11.1975,11.5435,111.819,13.96396396
138,Vanuatu,Medium,0.602573915,72.334,10.89,6.8,2995.279721,19,,,0.28075252,,,,,74.658,70.22,10.4238,11.1436,41.914,0
139,Lao People's Democratic Republic,Medium,0.601275725,67.021,11.20924,5.19385,6070.11563,-13,1.534605765,1.590576701,1.388462597,1.517415222,0.933526751,0.579334302,0.620586717,68.571,65.446,10.8906,11.5204,62.629,27.51677852
140,Ghana,Medium,0.591738194,63.033,11.61575,7.062,4096.173789,3,0.622983126,1.358172328,0.936526847,0.976066267,0.909606705,0.563192878,0.61916087,64.058,61.976,11.4501,11.7748,66.611,12.72727273
141,Equatorial Guinea,Medium,0.590561035,57.939,9.3,5.53909,19512.53253,-80,,1.190600904,0.228967282,,,,,59.39,56.684,,,155.622,19.65317919
142,Kenya,Medium,0.589920177,67.291,12.077442,6.476,2960.799699,16,-0.375069678,1.878495423,1.182517788,0.858553961,0.931158339,0.567715293,0.609687171,69.669,64.924,11.7062,12.4772,80.489,23.26139089
143,Sao Tome and Principe,Medium,0.589476283,66.762,12.46685,6.33347,2941.312798,16,0.800515035,1.010501357,1.209849436,0.984283,0.891632026,0.550462416,0.617365011,68.905,64.578,12.5736,12.3617,94.838,18.18181818
144,Eswatini (Kingdom of),Medium,0.588316354,58.268,11.19615,6.52137,7619.943492,-29,-1.279862137,1.339963407,1.278775687,0.345934102,0.942549602,0.568351144,0.602993353,61.34,54.932,10.7829,11.6079,76.98,14.73684211
144,Zambia,Medium,0.588083472,62.255,12.5123,6.97,3557.379352,3,0.756204786,2.340240339,1.109338291,1.431969797,0.940527571,0.569294689,0.60529293,64.955,59.578,11.9978,13.0268,82.818,17.96407186
146,Cambodia,Medium,0.581975041,69.331,11.72106311,4.844,3412.937431,3,1.440126356,2.493570179,1.154647239,1.754647892,0.914425969,0.553180265,0.604948114,71.324,67.127,11.2416,12.1872,50.177,18.47826087
147,Angola,Medium,0.581178565,61.809,11.77,5.12546,5789.861511,-16,,3.002812239,1.590109268,,,,,64.682,58.972,11.0225,12.6868,151.589,30.45454545
148,Myanmar,Medium,0.578263213,66.744,10.04659,4.91335,5567.223953,-15,1.86355224,2.0856325,1.251519154,1.786589894,0.959427876,0.56260133,0.58639252,69.086,64.358,10.2914,9.8016,28.678,10.24464832
149,Nepal,Medium,0.574038025,70.604,12.19644,4.88185,2470.988021,12,1.658568787,1.717787806,1.1871486,1.558040797,0.924523935,0.552495881,0.597600408,72.247,68.983,12.6303,11.7781,60.482,29.57983193
150,Pakistan,Medium,0.561602586,66.629,8.58696,5.18874,5311.219289,-14,1.083324847,1.567709077,0.946856095,1.226995253,0.750343164,0.465369348,0.620208687,67.696,65.634,7.802,9.3152,36.908,20.04504505
151,Cameroon,Medium,0.555938482,58.575,12.19407,6.26246,3314.744584,2,-0.205659538,1.613798977,1.346995115,0.867312514,0.865838229,0.513350511,0.592894254,59.706,57.45,11.3487,13.0281,105.8,27.14285714
152,Solomon Islands,Low,0.545960041,71.006,10.22041433,5.54073,1872.453835,15,,1.193862081,1.071804177,,,,,72.627,69.539,9.7131,10.7022,46.369,2
153,Papua New Guinea,Low,0.544304002,65.705,10,4.58,3402.574224,-3,1.699921793,1.475667541,0.644368958,1.342311241,,,,68.255,63.282,,,52.655,0
154,Tanzania (United Republic of),Low,0.537714741,66.31,8.92369,5.78,2655.39382,6,0.653159189,2.236098037,1.245703157,1.390731919,0.927943165,0.517135545,0.557292262,68.051,64.551,8.5578,9.3,115.066,37.17948718
155,Syrian Arab Republic,Low,0.535703701,70.963,8.7528,5.0625,2337.170091,8,,0.879668219,-2.596825695,,0.788062154,0.443318208,0.562542187,77.418,65.407,8.6987,8.8047,38.592,13.2
156,Zimbabwe,Low,0.534553286,61.712,10.31433,8.14984,1682.839299,17,-1.074848483,0.587402548,1.949756641,0.317804686,0.924398338,0.513417851,0.555407588,63.509,59.762,10.1798,10.4603,104.081,36.1516035
157,Nigeria,Low,0.531809699,53.875,9.970482,6.1755,5231.222288,-20,,,1.359019435,,0.867799304,0.493515728,0.568698,54.69,53.087,9.198,10.8202,107.33,5.769230769
158,Rwanda,Low,0.523946712,67.496,11.22042,4.14596,1811.223531,11,2.982667026,3.771292105,1.106014579,2.782804663,0.941080154,0.508018185,0.539824565,69.629,65.32,11.2144,11.2275,25.729,55.66037736
